edgeid,source,target,date,value,type
274,816,94.0,2020/9/1,1.0,Directed
275,816,637.0,2020/9/1,1.0,Directed
276,85,86.0,2020/9/1,1.0,Directed
277,86,554.0,2020/9/1,1.0,Directed
278,90,238.0,2020/9/1,1.0,Directed
279,90,395.0,2020/9/1,1.0,Directed
280,90,473.0,2020/9/1,1.0,Directed
281,90,608.0,2020/9/1,1.0,Directed
282,90,376.0,2020/9/1,1.0,Directed
283,201,141.0,2020/9/1,1.0,Directed
284,141,475.0,2020/9/1,1.0,Directed
285,522,141.0,2020/9/1,1.0,Directed
286,323,141.0,2020/9/1,1.0,Directed
287,490,323.0,2020/9/1,1.0,Directed
288,522,490.0,2020/9/1,1.0,Directed
289,405,201.0,2020/9/1,1.0,Directed
290,201,522.0,2020/9/1,1.0,Directed
291,1086,245.0,2020/9/1,1.0,Directed
292,315,395.0,2020/9/1,1.0,Directed
293,315,473.0,2020/9/1,1.0,Directed
294,315,376.0,2020/9/1,1.0,Directed
295,315,637.0,2020/9/1,1.0,Directed
296,330,637.0,2020/9/1,1.0,Directed
297,330,540.0,2020/9/1,1.0,Directed
298,376,559.0,2020/9/1,1.0,Directed
299,443,351.0,2020/9/1,1.0,Directed
300,461,1086.0,2020/9/1,1.0,Directed
301,461,395.0,2020/9/1,1.0,Directed
302,522,475.0,2020/9/1,1.0,Directed
303,490,522.0,2020/9/1,1.0,Directed
304,522,141.0,2020/9/1,1.0,Directed
305,554,9.0,2020/9/1,1.0,Directed
306,554,472.0,2020/9/1,1.0,Directed
307,554,481.0,2020/9/1,1.0,Directed
308,540,558.0,2020/9/1,1.0,Directed
309,559,207.0,2020/9/1,1.0,Directed
310,559,256.0,2020/9/1,1.0,Directed
311,578,443.0,2020/9/1,1.0,Directed
312,663,94.0,2020/9/1,1.0,Directed
313,663,201.0,2020/9/1,1.0,Directed
314,663,238.0,2020/9/1,1.0,Directed
315,668,94.0,2020/9/1,1.0,Directed
316,668,201.0,2020/9/1,1.0,Directed
317,668,226.0,2020/9/1,1.0,Directed
318,668,376.0,2020/9/1,1.0,Directed
319,809,832.0,2020/9/3,1.0,Directed
320,810,832.0,2020/9/3,1.0,Directed
321,101,810.0,2020/9/3,1.0,Directed
322,332,810.0,2020/9/3,1.0,Directed
323,461,810.0,2020/9/3,1.0,Directed
324,668,810.0,2020/9/3,1.0,Directed
325,668,832.0,2020/9/3,1.0,Directed
326,263,698.0,2020/9/6,1.0,Directed
327,282,698.0,2020/9/6,1.0,Directed
328,461,698.0,2020/9/6,1.0,Directed
329,1131,698.0,2020/9/6,1.0,Directed
330,668,698.0,2020/9/6,1.0,Directed
331,101,699.0,2020/9/7,1.0,Directed
332,134,699.0,2020/9/7,1.0,Directed
333,578,238.0,2020/9/7,1.0,Directed
334,248,699.0,2020/9/7,1.0,Directed
335,461,699.0,2020/9/7,1.0,Directed
336,1131,699.0,2020/9/7,1.0,Directed
337,809,833.0,2020/9/8,1.0,Directed
338,668,833.0,2020/9/8,1.0,Directed
339,663,254.0,2020/9/15,1.0,Directed
340,663,275.0,2020/9/15,1.0,Directed
341,808,438.0,2020/9/19,1.0,Directed
342,269,700.0,2020/9/19,1.0,Directed
343,329,700.0,2020/9/19,1.0,Directed
344,461,700.0,2020/9/19,1.0,Directed
345,1128,700.0,2020/9/19,1.0,Directed
346,282,701.0,2020/9/20,1.0,Directed
347,330,701.0,2020/9/20,1.0,Directed
348,461,701.0,2020/9/20,1.0,Directed
349,1128,701.0,2020/9/20,1.0,Directed
350,1129,701.0,2020/9/20,1.0,Directed
351,558,701.0,2020/9/20,1.0,Directed
352,668,701.0,2020/9/20,1.0,Directed
353,207,703.0,2020/9/26,1.0,Directed
354,256,207.0,2020/9/26,1.0,Directed
355,226,275.0,2020/9/26,1.0,Directed
356,254,702.0,2020/9/26,1.0,Directed
357,256,703.0,2020/9/26,1.0,Directed
358,315,703.0,2020/9/26,1.0,Directed
359,461,702.0,2020/9/26,1.0,Directed
360,461,703.0,2020/9/26,1.0,Directed
361,1131,702.0,2020/9/26,1.0,Directed
362,1131,703.0,2020/9/26,1.0,Directed
363,559,703.0,2020/9/26,1.0,Directed
364,608,702.0,2020/9/26,1.0,Directed
365,608,254.0,2020/9/26,1.0,Directed
366,9,481.0,2020/9/30,1.0,Directed
367,481,472.0,2020/9/30,1.0,Directed
368,816,262.0,2020/10/1,1.0,Directed
369,90,679.0,2020/10/1,1.0,Directed
